leaf_ID,site,species,group,Func_feed_group,damage_type,herbivory_index
50,4,B. asiatica,N,margin feeding,DT12,0.06
51,3,L. camara,I,NA,NA,0
52,3,L. camara,I,NA,NA,0
53,3,L. camara,I,hole feeding,DT03,0.005
54,3,L. camara,I,NA,NA,0
55,3,L. camara,I,NA,NA,0
56,3,L. camara,I,hole feeding,DT01,0.01
57,3,L. camara,I,NA,NA,0
58,3,L. camara,I,hole feeding,DT01,0.005
59,3,L. camara,I,NA,NA,0
60,3,L. camara,I,margin feeding,DT12,0.1
61,3,L. camara,I,NA,NA,0
62,3,L. camara,I,NA,NA,0
63,3,L. camara,I,NA,NA,0
64,3,L. camara,I,mining,DT66,0.01
65,3,L. camara,I,NA,NA,0
66,3,L. camara,I,NA,NA,0
67,3,L. camara,I,NA,NA,0
68,3,L. camara,I,hole feeding,DT03,0.08
69,3,L. camara,I,NA,NA,0
70,3,L. camara,I,NA,NA,0
71,3,L. camara,I,NA,NA,0
72,3,L. camara,I,NA,NA,0
73,3,L. camara,I,NA,NA,0
74,3,L. camara,I,NA,NA,0
75,3,L. camara,I,hole feeding,DT01,0.09
76,3,L. camara,I,NA,NA,0
77,3,L. camara,I,NA,NA,0
78,3,L. camara,I,hole feeding,DT01,0.005
78,3,L. camara,I,mining,DT36,0.2
79,3,L. camara,I,NA,NA,0
80,3,L. camara,I,margin feeding,DT12,0.1
81,3,L. camara,I,hole feeding,DT02,0.1
82,3,L. camara,I,NA,NA,0
83,3,L. camara,I,NA,NA,0
84,3,L. camara,I,NA,NA,0
85,3,L. camara,I,hole feeding,DT01,0.05
86,3,L. camara,I,NA,NA,0
87,3,L. camara,I,NA,NA,0
88,3,L. camara,I,NA,NA,0
89,3,L. camara,I,NA,NA,0
90,3,L. camara,I,NA,NA,0
91,3,L. camara,I,hole feeding,DT01,0.02
92,3,L. camara,I,NA,NA,0
93,3,L. camara,I,hole feeding,DT01,0.005
94,3,L. camara,I,hole feeding,DT01,0.01
95,3,L. camara,I,NA,NA,0
96,3,L. camara,I,NA,NA,0
97,3,L. camara,I,hole feeding,DT01,0.005
98,3,L. camara,I,hole feeding,DT01,0.005
99,3,L. camara,I,NA,NA,0
100,3,L. camara,I,NA,NA,0
101,2,H. tiliaceus,N,hole feeding,DT03,0.03
102,2,H. tiliaceus,N,NA,NA,0
103,2,H. tiliaceus,N,margin feeding,DT15,0.1
104,2,H. tiliaceus,N,hole feeding,DT09,0.05
105,2,H. tiliaceus,N,NA,NA,0
106,2,H. tiliaceus,N,hole feeding,DT01,0.005
107,2,H. tiliaceus,N,hole feeding,DT01,0.005
108,2,H. tiliaceus,N,hole feeding,DT01,0.05
109,2,H. tiliaceus,N,hole feeding,DT01,0.03
110,2,H. tiliaceus,N,hole feeding,DT03,0.04
111,2,H. tiliaceus,N,margin feeding,DT12,0.08
112,2,H. tiliaceus,N,hole feeding,DT01,0.001
113,2,H. tiliaceus,N,hole feeding,DT01,0.02
113,2,H. tiliaceus,N,hole feeding,DT05,0.03
114,2,H. tiliaceus,N,hole feeding,DT03,0.05
115,2,H. tiliaceus,N,mining,DT36,0.6
115,2,H. tiliaceus,N,skeletonization,DT24,0.2
116,2,H. tiliaceus,N,hole feeding,DT03,0.05
117,2,H. tiliaceus,N,hole feeding,DT03,0.02
117,2,H. tiliaceus,N,margin feeding,DT15,0.07
117,2,H. tiliaceus,N,margin feeding,DT12,0.09
118,2,H. tiliaceus,N,margin feeding,DT12,0.08
118,2,H. tiliaceus,N,hole feeding,DT01,0.01
119,2,H. tiliaceus,N,hole feeding,DT01,0.01
120,2,H. tiliaceus,N,hole feeding,DT01,0.01
120,2,H. tiliaceus,N,skeletonization,DT16,0.15
121,2,H. tiliaceus,N,hole feeding,DT03,0.05
122,2,H. tiliaceus,N,hole feeding,DT01,0.01
122,2,H. tiliaceus,N,margin feeding,DT12,0.03
124,2,H. tiliaceus,N,hole feeding,DT01,0.03
125,2,H. tiliaceus,N,skeletonization,DT16,0.2
126,2,H. tiliaceus,N,hole feeding,DT03,0.05
127,2,H. tiliaceus,N,hole feeding,DT01,0.07
128,2,H. tiliaceus,N,hole feeding,DT01,0.01
129,2,H. tiliaceus,N,hole feeding,DT03,0.01
130,2,H. tiliaceus,N,NA,NA,0
131,2,H. tiliaceus,N,hole feeding,DT01,0.01
132,2,H. tiliaceus,N,hole feeding,DT01,0.01
132,2,H. tiliaceus,N,skeletonization,DT79,0.05
133,2,H. tiliaceus,N,hole feeding,DT01,0.01
135,2,H. tiliaceus,N,skeletonization,DT24,0.07
136,2,H. tiliaceus,N,hole feeding,DT01,0.02
137,2,H. tiliaceus,N,skeletonization,DT24,0.02
137,2,H. tiliaceus,N,margin feeding,DT12,0.01
138,2,H. tiliaceus,N,hole feeding,DT06,0.01
139,2,H. tiliaceus,N,hole feeding,DT01,0.005
140,2,H. tiliaceus,N,hole feeding,DT03,0.1
141,2,H. tiliaceus,N,hole feeding,DT03,0.15
142,2,H. tiliaceus,N,NA,NA,0
143,2,H. tiliaceus,N,NA,NA,0
144,2,H. tiliaceus,N,hole feeding,DT03,0.01
145,2,H. tiliaceus,N,skeletonization,DT61,0.3
145,2,H. tiliaceus,N,hole feeding,DT03,0.05
146,2,H. tiliaceus,N,NA,NA,0
147,2,H. tiliaceus,N,surface feeding,DT30,0.07
148,2,H. tiliaceus,N,hole feeding,DT01,0.005
149,2,H. tiliaceus,N,NA,NA,0
150,2,H. tiliaceus,N,hole feeding,DT03,0.1
151,1,S. campanulata,I,margin feeding,DT12,0.06
152,1,S. campanulata,I,NA,NA,0
153,1,S. campanulata,I,NA,NA,0
154,1,S. campanulata,I,hole feeding,DT01,0.02
155,1,S. campanulata,I,NA,NA,0
156,1,S. campanulata,I,NA,NA,0
157,1,S. campanulata,I,hole feeding,DT01,0.005
158,1,S. campanulata,I,NA,NA,0
159,1,S. campanulata,I,NA,NA,0
160,1,S. campanulata,I,NA,NA,0
161,1,S. campanulata,I,hole feeding,DT01,0.01
162,1,S. campanulata,I,NA,NA,0
163,1,S. campanulata,I,NA,NA,0
164,1,S. campanulata,I,NA,NA,0
165,1,S. campanulata,I,hole feeding,DT01,0.005
166,1,S. campanulata,I,NA,NA,0
167,1,S. campanulata,I,NA,NA,0
168,1,S. campanulata,I,surface feeding,DT29,0.07
169,1,S. campanulata,I,NA,NA,0
170,1,S. campanulata,I,NA,NA,0
171,1,S. campanulata,I,NA,NA,0
172,1,S. campanulata,I,hole feeding,DT01,0.005
173,1,S. campanulata,I,NA,NA,0
174,1,S. campanulata,I,hole feeding,DT01,0.005
175,1,S. campanulata,I,hole feeding,DT03,0.05
176,1,S. campanulata,I,NA,NA,0
177,1,S. campanulata,I,surface feeding,DT29,0.03
178,1,S. campanulata,I,NA,NA,0
179,1,S. campanulata,I,NA,NA,0
180,1,S. campanulata,I,margin feeding,DT12,0.1
181,1,S. campanulata,I,NA,NA,0
182,1,S. campanulata,I,NA,NA,0
183,1,S. campanulata,I,NA,NA,0
184,1,S. campanulata,I,NA,NA,0
185,1,S. campanulata,I,NA,NA,0
186,1,S. campanulata,I,hole feeding,DT01,0.005
187,1,S. campanulata,I,NA,NA,0
188,1,S. campanulata,I,hole feeding,DT03,0.01
189,1,S. campanulata,I,hole feeding,DT01,0.005
190,1,S. campanulata,I,NA,NA,0
191,1,S. campanulata,I,NA,NA,0
192,1,S. campanulata,I,hole feeding,DT01,0.005
193,1,S. campanulata,I,NA,NA,0
194,1,S. campanulata,I,margin feeding,DT12,0.2
195,1,S. campanulata,I,NA,NA,0
196,1,S. campanulata,I,NA,NA,0
197,1,S. campanulata,I,margin feeding,DT12,0.07
197,1,S. campanulata,I,hole feeding,DT01,0.01
198,1,S. campanulata,I,NA,NA,0
199,1,S. campanulata,I,margin feeding,DT12,0.01
200,1,S. campanulata,I,hole feeding,DT02,0.02
201,5,M. calvescens,I,hole feeding,DT01,0.001
202,5,M. calvescens,I,NA,NA,0
203,5,M. calvescens,I,hole feeding,DT02,0.01
204,5,M. calvescens,I,hole feeding,DT01,0.01
204,5,M. calvescens,I,hole feeding,DT05,0.03
205,5,M. calvescens,I,hole feeding,DT01,0.001
206,5,M. calvescens,I,hole feeding,DT01,0.001
207,5,M. calvescens,I,hole feeding,DT01,0.001
208,5,M. calvescens,I,hole feeding,DT08,0.02
209,5,M. calvescens,I,hole feeding,DT02,0.05
210,5,M. calvescens,I,NA,NA,0
211,5,M. calvescens,I,hole feeding,DT01,0.07
212,5,M. calvescens,I,NA,NA,0
213,5,M. calvescens,I,NA,NA,0
214,5,M. calvescens,I,hole feeding,DT01,0.001
215,5,M. calvescens,I,hole feeding,DT01,0.001
216,5,M. calvescens,I,hole feeding,DT02,0.05
217,5,M. calvescens,I,hole feeding,DT01,0.001
218,5,M. calvescens,I,hole feeding,DT01,0.01
219,5,M. calvescens,I,hole feeding,DT02,0.08
220,5,M. calvescens,I,hole feeding,DT01,0.001
221,5,M. calvescens,I,hole feeding,DT02,0.04
222,5,M. calvescens,I,hole feeding,DT01,0.001
223,5,M. calvescens,I,mining,DT69,0.05
224,5,M. calvescens,I,NA,NA,0
225,5,M. calvescens,I,hole feeding,DT03,0.08
226,5,M. calvescens,I,hole feeding,DT01,0.001
227,5,M. calvescens,I,hole feeding,DT02,0.01
228,5,M. calvescens,I,hole feeding,DT01,0.01
229,5,M. calvescens,I,NA,NA,0
230,5,M. calvescens,I,NA,NA,0
231,5,M. calvescens,I,NA,NA,0
232,5,M. calvescens,I,NA,NA,0
233,5,M. calvescens,I,NA,NA,0
234,5,M. calvescens,I,hole feeding,DT03,0.04
235,5,M. calvescens,I,hole feeding,DT01,0.001
236,5,M. calvescens,I,NA,NA,0
237,5,M. calvescens,I,hole feeding,DT01,0.05
238,5,M. calvescens,I,hole feeding,DT01,0.05
239,5,M. calvescens,I,hole feeding,DT02,0.05
239,5,M. calvescens,I,margin feeding,DT13,0.15
240,5,M. calvescens,I,NA,NA,0
241,5,M. calvescens,I,NA,NA,0
242,5,M. calvescens,I,NA,NA,0
243,5,M. calvescens,I,hole feeding,DT02,0.05
244,5,M. calvescens,I,surface feeding,DT29,0.02
245,5,M. calvescens,I,NA,NA,0
246,5,M. calvescens,I,margin feeding,DT12,0.05
247,5,M. calvescens,I,NA,NA,0
248,5,M. calvescens,I,hole feeding,DT03,0.08
249,5,M. calvescens,I,hole feeding,DT01,0.02
250,5,M. calvescens,I,hole feeding,DT01,0.03
251,6,N. forsteri,N,margin feeding,DT12,0.005
252,6,N. forsteri,N,surface feeding,DT29,0.1
253,6,N. forsteri,N,margin feeding,DT12,0.005
254,6,N. forsteri,N,hole feeding,DT01,0.01
255,6,N. forsteri,N,hole feeding,DT01,0.005
256,6,N. forsteri,N,margin feeding,DT12,0.05
257,6,N. forsteri,N,margin feeding,DT12,0.03
257,6,N. forsteri,N,surface feeding,DT29,0.07
258,6,N. forsteri,N,margin feeding,DT12,0.001
259,6,N. forsteri,N,margin feeding,DT12,0.05
259,6,N. forsteri,N,hole feeding,DT03,0.01
260,6,N. forsteri,N,hole feeding,DT01,0.001
261,6,N. forsteri,N,NA,NA,0
262,6,N. forsteri,N,margin feeding,DT12,0.2
263,6,N. forsteri,N,margin feeding,DT12,0.05
263,6,N. forsteri,N,hole feeding,DT01,0.04
264,6,N. forsteri,N,NA,NA,0
265,6,N. forsteri,N,hole feeding,DT01,0.03
265,6,N. forsteri,N,margin feeding,DT12,0.07
265,6,N. forsteri,N,skeletonization,DT16,0.03
265,6,N. forsteri,N,hole feeding,DT05,0.08
266,6,N. forsteri,N,surface feeding,DT30,0.03
266,6,N. forsteri,N,hole feeding,DT01,0.01
266,6,N. forsteri,N,margin feeding,DT12,0.02
266,6,N. forsteri,N,mining,DT41,0.08
267,6,N. forsteri,N,margin feeding,DT12,0.03
268,6,N. forsteri,N,margin feeding,DT12,0.08
269,6,N. forsteri,N,NA,NA,0
270,6,N. forsteri,N,margin feeding,DT12,0.01
270,6,N. forsteri,N,hole feeding,DT01,0.01
271,6,N. forsteri,N,margin feeding,DT12,0.03
271,6,N. forsteri,N,hole feeding,DT01,0.01
272,6,N. forsteri,N,NA,NA,0
273,6,N. forsteri,N,hole feeding,DT01,0.001
273,6,N. forsteri,N,margin feeding,DT12,0.001
274,6,N. forsteri,N,margin feeding,DT12,0.01
274,6,N. forsteri,N,hole feeding,DT01,0.001
275,6,N. forsteri,N,margin feeding,DT12,0.03
276,6,N. forsteri,N,margin feeding,DT12,0.35
276,6,N. forsteri,N,hole feeding,DT01,0.01
277,6,N. forsteri,N,margin feeding,DT12,0.1
277,6,N. forsteri,N,hole feeding,DT02,0.05
278,6,N. forsteri,N,hole feeding,DT02,0.08
278,6,N. forsteri,N,hole feeding,DT01,0.01
279,6,N. forsteri,N,margin feeding,DT12,0.03
279,6,N. forsteri,N,hole feeding,DT01,0.01
279,6,N. forsteri,N,surface feeding,DT30,0.02
280,6,N. forsteri,N,hole feeding,DT01,0.01
280,6,N. forsteri,N,margin feeding,DT12,0.01
280,6,N. forsteri,N,surface feeding,DT30,0.02
281,6,N. forsteri,N,margin feeding,DT12,0.18
281,6,N. forsteri,N,surface feeding,DT25,0.02
281,6,N. forsteri,N,galling,DT84,0.05
282,6,N. forsteri,N,NA,NA,0
283,6,N. forsteri,N,margin feeding,DT12,0.15
284,6,N. forsteri,N,margin feeding,DT12,0.1
284,6,N. forsteri,N,hole feeding,DT02,0.02
284,6,N. forsteri,N,hole feeding,DT01,0.005
285,6,N. forsteri,N,margin feeding,DT12,0.03
285,6,N. forsteri,N,hole feeding,DT02,0.02
286,6,N. forsteri,N,surface feeding,DT29,0.05
287,6,N. forsteri,N,margin feeding,DT12,0.15
287,6,N. forsteri,N,hole feeding,DT01,0.01
288,6,N. forsteri,N,hole feeding,DT01,0.01
288,6,N. forsteri,N,margin feeding,DT12,0.01
289,6,N. forsteri,N,margin feeding,DT13,0.07
289,6,N. forsteri,N,piercing and sucking,DT47,0.03
290,6,N. forsteri,N,margin feeding,DT12,0.3
290,6,N. forsteri,N,hole feeding,DT03,0.02
290,6,N. forsteri,N,skeletonization,DT16,0.1
291,6,N. forsteri,N,margin feeding,DT13,0.06
291,6,N. forsteri,N,margin feeding,DT12,0.02
292,6,N. forsteri,N,margin feeding,DT12,0.01
292,6,N. forsteri,N,hole feeding,DT01,0.001
292,6,N. forsteri,N,surface feeding,DT30,0.03
293,6,N. forsteri,N,margin feeding,DT12,0.08
293,6,N. forsteri,N,hole feeding,DT01,0.002
294,6,N. forsteri,N,margin feeding,DT12,0.05
295,6,N. forsteri,N,margin feeding,DT12,0.01
296,6,N. forsteri,N,margin feeding,DT12,0.01
297,6,N. forsteri,N,margin feeding,DT12,0.01
297,6,N. forsteri,N,hole feeding,DT01,0.005
298,6,N. forsteri,N,NA,NA,0
299,6,N. forsteri,N,margin feeding,DT13,0.2
299,6,N. forsteri,N,hole feeding,DT01,0.01
300,6,N. forsteri,N,margin feeding,DT12,0.13
300,6,N. forsteri,N,hole feeding,DT03,0.01
301,8,H. rosa-sinensis,R,galling,DT52,0.04
302,8,H. rosa-sinensis,R,margin feeding,DT12,0.02
302,8,H. rosa-sinensis,R,galling,DT32,0.03
303,8,H. rosa-sinensis,R,surface feeding,DT29,0.01
304,8,H. rosa-sinensis,R,margin feeding,DT12,0.04
304,8,H. rosa-sinensis,R,hole feeding,DT03,0.03
304,8,H. rosa-sinensis,R,surface feeding,DT29,0.03
305,8,H. rosa-sinensis,R,NA,NA,0
306,8,H. rosa-sinensis,R,surface feeding,DT29,0.04
307,8,H. rosa-sinensis,R,galling,DT52,0.015
308,8,H. rosa-sinensis,R,hole feeding,DT03,0.04
308,8,H. rosa-sinensis,R,galling,DT32,0.01
309,8,H. rosa-sinensis,R,NA,NA,0
310,8,H. rosa-sinensis,R,galling,DT32,0.03
310,8,H. rosa-sinensis,R,surface feeding,DT29,0.02
311,8,H. rosa-sinensis,R,margin feeding,DT13,0.03
312,8,H. rosa-sinensis,R,margin feeding,DT12,0.03
312,8,H. rosa-sinensis,R,hole feeding,DT03,0.01
312,8,H. rosa-sinensis,R,galling,DT32,0.03
313,8,H. rosa-sinensis,R,hole feeding,DT01,0.01
314,8,H. rosa-sinensis,R,hole feeding,DT03,0.05
315,8,H. rosa-sinensis,R,hole feeding,DT01,0.02
315,8,H. rosa-sinensis,R,margin feeding,DT12,0.02
316,8,H. rosa-sinensis,R,margin feeding,DT12,0.13
316,8,H. rosa-sinensis,R,hole feeding,DT02,0.04
317,8,H. rosa-sinensis,R,NA,NA,0
318,8,H. rosa-sinensis,R,margin feeding,DT12,0.02
318,8,H. rosa-sinensis,R,hole feeding,DT01,0.01
319,8,H. rosa-sinensis,R,NA,NA,0
320,8,H. rosa-sinensis,R,NA,NA,0
321,8,H. rosa-sinensis,R,hole feeding,DT03,0.04
321,8,H. rosa-sinensis,R,surface feeding,DT29,0.02
321,8,H. rosa-sinensis,R,galling,DT32,0.01
322,8,H. rosa-sinensis,R,galling,DT32,0.01
323,8,H. rosa-sinensis,R,hole feeding,DT03,0.05
324,8,H. rosa-sinensis,R,surface feeding,DT29,0.03
324,8,H. rosa-sinensis,R,margin feeding,DT12,0.18
325,8,H. rosa-sinensis,R,NA,NA,0
326,8,H. rosa-sinensis,R,hole feeding,DT01,0.03
326,8,H. rosa-sinensis,R,margin feeding,DT12,0.02
327,8,H. rosa-sinensis,R,galling,DT32,0.02
327,8,H. rosa-sinensis,R,surface feeding,DT29,0.01
328,8,H. rosa-sinensis,R,surface feeding,DT29,0.04
328,8,H. rosa-sinensis,R,hole feeding,DT01,0.01
329,8,H. rosa-sinensis,R,margin feeding,DT12,0.01
329,8,H. rosa-sinensis,R,surface feeding,DT29,0.03
330,8,H. rosa-sinensis,R,NA,NA,0
331,8,H. rosa-sinensis,R,margin feeding,DT12,0.03
332,8,H. rosa-sinensis,R,galling,DT32,0.03
332,8,H. rosa-sinensis,R,hole feeding,DT05,0.04
333,8,H. rosa-sinensis,R,hole feeding,DT02,0.02
333,8,H. rosa-sinensis,R,margin feeding,DT12,0.03
333,8,H. rosa-sinensis,R,galling,DT32,0.03
334,8,H. rosa-sinensis,R,hole feeding,DT03,0.01
335,8,H. rosa-sinensis,R,galling,DT32,0.03
335,8,H. rosa-sinensis,R,surface feeding,DT29,0.04
335,8,H. rosa-sinensis,R,hole feeding,DT03,0.04
336,8,H. rosa-sinensis,R,galling,DT32,0.02
337,8,H. rosa-sinensis,R,galling,DT32,0.01
338,8,H. rosa-sinensis,R,surface feeding,DT29,0.01
339,8,H. rosa-sinensis,R,surface feeding,DT29,0.02
339,8,H. rosa-sinensis,R,margin feeding,DT12,0.03
340,8,H. rosa-sinensis,R,galling,DT32,0.03
341,8,H. rosa-sinensis,R,galling,DT32,0.02
341,8,H. rosa-sinensis,R,hole feeding,DT01,0.01
342,8,H. rosa-sinensis,R,NA,NA,0
343,8,H. rosa-sinensis,R,surface feeding,DT29,0.04
343,8,H. rosa-sinensis,R,hole feeding,DT02,0.04
344,8,H. rosa-sinensis,R,galling,DT32,0.03
344,8,H. rosa-sinensis,R,margin feeding,DT13,0.02
345,8,H. rosa-sinensis,R,hole feeding,DT01,0.03
345,8,H. rosa-sinensis,R,surface feeding,DT29,0.04
346,8,H. rosa-sinensis,R,galling,DT32,0.04
346,8,H. rosa-sinensis,R,hole feeding,DT03,0.04
346,8,H. rosa-sinensis,R,surface feeding,DT29,0.01
347,8,H. rosa-sinensis,R,galling,DT32,0.03
347,8,H. rosa-sinensis,R,margin feeding,DT12,0.02
348,8,H. rosa-sinensis,R,galling,DT32,0.03
348,8,H. rosa-sinensis,R,surface feeding,DT29,0.04
348,8,H. rosa-sinensis,R,hole feeding,DT01,0.01
349,8,H. rosa-sinensis,R,surface feeding,DT29,0.04
349,8,H. rosa-sinensis,R,galling,DT32,0.02
349,8,H. rosa-sinensis,R,hole feeding,DT02,0.04
349,8,H. rosa-sinensis,R,margin feeding,DT12,0.03
350,8,H. rosa-sinensis,R,galling,DT32,0.01
351,7,H. tiliaceus,N,hole feeding,DT03,0.02
352,7,H. tiliaceus,N,surface feeding,DT29,0.05
353,7,H. tiliaceus,N,hole feeding,DT03,0.06
354,7,H. tiliaceus,N,hole feeding,DT01,0.01
355,7,H. tiliaceus,N,hole feeding,DT01,0.02
356,7,H. tiliaceus,N,hole feeding,DT01,0.01
356,7,H. tiliaceus,N,piercing and sucking,DT46,0.01
357,7,H. tiliaceus,N,surface feeding,DT29,0.02
357,7,H. tiliaceus,N,hole feeding,DT01,0.001
358,7,H. tiliaceus,N,margin feeding,DT12,0.1
358,7,H. tiliaceus,N,hole feeding,DT01,0.001
359,7,H. tiliaceus,N,surface feeding,DT29,0.05
360,7,H. tiliaceus,N,hole feeding,DT03,0.03
360,7,H. tiliaceus,N,margin feeding,DT12,0.7
360,7,H. tiliaceus,N,margin feeding,DT15,0.02
361,7,H. tiliaceus,N,hole feeding,DT03,0.2
361,7,H. tiliaceus,N,margin feeding,DT12,0.05
362,7,H. tiliaceus,N,hole feeding,DT03,0.08
362,7,H. tiliaceus,N,margin feeding,DT12,0.05
363,7,H. tiliaceus,N,hole feeding,DT06,0.03
364,7,H. tiliaceus,N,hole feeding,DT02,0.05
365,7,H. tiliaceus,N,hole feeding,DT01,0.01
366,7,H. tiliaceus,N,margin feeding,DT15,0.03
366,7,H. tiliaceus,N,hole feeding,DT01,0.001
366,7,H. tiliaceus,N,margin feeding,DT12,0.01
366,7,H. tiliaceus,N,surface feeding,DT30,0.03
367,7,H. tiliaceus,N,hole feeding,DT01,0.01
367,7,H. tiliaceus,N,surface feeding,DT30,0.03
367,7,H. tiliaceus,N,margin feeding,DT12,0.05
368,7,H. tiliaceus,N,hole feeding,DT01,0.02
369,7,H. tiliaceus,N,hole feeding,DT01,0.001
370,7,H. tiliaceus,N,hole feeding,DT01,0.01
371,7,H. tiliaceus,N,hole feeding,DT03,0.08
371,7,H. tiliaceus,N,margin feeding,DT12,0.11
372,7,H. tiliaceus,N,NA,NA,0
373,7,H. tiliaceus,N,hole feeding,DT03,0.05
373,7,H. tiliaceus,N,margin feeding,DT15,0.02
374,7,H. tiliaceus,N,hole feeding,DT64,0.03
374,7,H. tiliaceus,N,hole feeding,DT02,0.01
374,7,H. tiliaceus,N,surface feeding,DT29,0.04
375,7,H. tiliaceus,N,hole feeding,DT01,0.01
376,7,H. tiliaceus,N,hole feeding,DT03,0.03
377,7,H. tiliaceus,N,hole feeding,DT03,0.02
378,7,H. tiliaceus,N,NA,NA,0
379,7,H. tiliaceus,N,hole feeding,DT01,0.02
380,7,H. tiliaceus,N,hole feeding,DT02,0.04
381,7,H. tiliaceus,N,hole feeding,DT02,0.03
382,7,H. tiliaceus,N,mining,DT66,0.02
383,7,H. tiliaceus,N,surface feeding,DT29,0.05
384,7,H. tiliaceus,N,margin feeding,DT12,0.03
384,7,H. tiliaceus,N,mining,DT36,0.05
385,7,H. tiliaceus,N,hole feeding,DT02,0.03
386,7,H. tiliaceus,N,NA,NA,0
387,7,H. tiliaceus,N,hole feeding,DT03,0.01
387,7,H. tiliaceus,N,margin feeding,DT12,0.03
388,7,H. tiliaceus,N,NA,NA,0
389,7,H. tiliaceus,N,hole feeding,DT01,0.005
389,7,H. tiliaceus,N,galling,DT32,0.01
390,7,H. tiliaceus,N,hole feeding,DT01,0.01
390,7,H. tiliaceus,N,margin feeding,DT12,0.03
390,7,H. tiliaceus,N,hole feeding,DT05,0.02
391,7,H. tiliaceus,N,galling,DT32,0.01
391,7,H. tiliaceus,N,margin feeding,DT12,0.02
392,7,H. tiliaceus,N,mining,DT69,0.01
393,7,H. tiliaceus,N,hole feeding,DT02,0.02
394,7,H. tiliaceus,N,piercing and sucking,DT46,0.02
394,7,H. tiliaceus,N,mining,DT66,0.01
395,7,H. tiliaceus,N,hole feeding,DT01,0.001
395,7,H. tiliaceus,N,piercing and sucking,DT46,0.01
396,7,H. tiliaceus,N,hole feeding,DT03,0.06
397,7,H. tiliaceus,N,hole feeding,DT03,0.06
398,7,H. tiliaceus,N,hole feeding,DT01,0.001
399,7,H. tiliaceus,N,hole feeding,DT02,0.03
399,7,H. tiliaceus,N,margin feeding,DT15,0.04
400,7,H. tiliaceus,N,piercing and sucking,DT46,0.01
400,7,H. tiliaceus,N,surface feeding,DT29,0.02
401,11,L. camara,I,mining,DT69,0.01
